FAMILIAR,UNFAMILIAR
all pearls are gems,all quartzes are gems
all oaks are trees,all sycamores are trees
all robins are birds,all khakis are pants
all bombs are weapons,all plovers are birds
all elephants are mammals,all scimitars are weapons
all pines are trees,all tangerines are fruit
all emeralds are gems,all weevils are insects
all oranges are fruit,all junipers are trees
all rabbits are mammals,all rambutans are fruit
all jeans are pants,all zircons are gems
all apples are fruit,all pomelos are fruit
all trousers are pants,all raccoons are mammals
all gumboots are shoes,all plimsoles are shoes
all magpies are birds,all dungarees are pants
all pianos are instruments,all slaters are insects
all whales are mammals,all molotovs are weapons
all grasshoppers are insects ,all hickories are trees
all opals are gems,all starlings are birds
all beetles are insects,all cedars are trees
all grapes are fruit,all quinces are fruit
all ants are insects,all garnets are gems
all pineapples are fruit,all breeches are pants
all leggings are pants,all moccasins are shoes
all pigeons are birds,all kestrels are birds
all spruces are trees,all locusts are insects
all gums are trees,all lutes are instruments
all flies are insects,all poplars are trees
all sandals are shoes,all loafers are shoes
all clarinets are instruments,all bilbies are mammals
all nikes are shoes,all dugongs are mammals
all pears are fruit,all pantaloons are pants
all maples are trees,all amethysts are gems
all horses are mammals,all jodhpurs are pants
all cockroaches are insects,all galoshes are shoes
all chinos are pants,all timpanis are drums
all mosquitoes are insects,all earwigs are insects
all missiles are weapons,all mandolins are instruments
all bears are mammals,all lemmings are mammals
all seagulls are birds,all bugles are instruments
all drums are instruments,all guavas are fruit
all joggers are shoes,all katanas are weapons
all guns are weapons,all topazes are gems
all eagles are birds,all sitars are instruments
all guitars are instruments,all cymbals are instruments
all sapphires are gems,all coyotes are mammals
all overalls are pants,all nunchucks are weapons
all swords are weapons,all espadrilles are shoes
all bananas are fruit,all tapirs are mammals
all boardshorts are pants,all knickers are pants
all volleys are shoes,all cicadas are insects
all cockatoos are birds,all stilettos are shoes
all rifles are weapons,all galahs are birds
all lions are mammals,all bazookas are weapons
all uggs are shoes,all wrens are birds
all daggers are weapons,all durians are fruit
all rubies are gems,all cutlasses are weapons
all trumpets are instruments,all ospreys are birds
all flutes are instruments,all aphids are insects
all redwoods are trees,all larches are trees
all diamonds are gems,all citrines are gems
